feature,importance
PMVL[Purch. Val. (clean) (ptf cur.)],13.784492505468577
PMVL[Quote],9.672517309165025
PMVL[Ptf name],6.998451951234143
PMVL[Ref Unik Light],6.83950853804041
PMVL[Ref Unik Codes Completed],6.7363484042749056
PMVL[PMVL Estimée + PRATIC],5.732050183852684
PMVL[PRMP PMVL],5.549339911004279
PMVL[Inst Num],4.573741556695159
PMVL[PMVL Estimé],4.197982376533895
PMVL[Parametres_Indices.TICKER],4.192880846108707
PMVL[CANTON],3.9647037896623414
PMVL[CIC],3.7899905506954594
PMVL[Ref Unik Asset],3.576947641814641
PMVL[3A],3.5351915673200605
PMVL[PRMP VNC],3.245099200430085
position_group,2.679927012701216
PMVL[PRMP MtM],2.2752859208308593
PMVL[Quantity],2.1415439291415113
PMVL[MtM Estimé],1.9949471552376905
PMVL[MtM Estimée + PRATIC],1.8480795328679842
PMVL[PFMIndice.Perf J / J-1],1.2266966768075191
PMVL[Inst. Nominal],0.9621564829981182
PMVL[PRATIC_PMVLEstimée],0.4401234497875418
PMVL[Quote Mode],0.021772079517930885
PMVL[VNC Agrege dirty (ptf cur.)],0.011292728307458734
PMVL[RefUnik Position],0.008928699501787775
PMVL[GROUPE],0.0
