,feature,importance,feature,importance,feature,importance
244,ratio_pmvl_vnc,1760.0,ratio_pmvl_vnc,0.034948163,ratio_pmvl_vnc,0.38254889377247514
228,PMVL[Quote],1616.0,,,PMVL[Quote],0.01472854793854614
235,PMVL[PFMIndice.Perf J / J-1],1329.0,,,,
243,ratio_pmvl_est_real,967.0,,,ratio_pmvl_est_real,0.02796418692340603
241,holding_dow,897.0,,,,
234,PMVL[PRMP PMVL],889.0,PMVL[PRMP PMVL],0.021256967,PMVL[PRMP PMVL],0.19439687554275212
237,PMVL[PMVL Estimé],436.0,,,PMVL[PMVL Estimé],0.10525452400893331
242,holding_month,434.0,,,,
232,PMVL[PRMP MtM],302.0,,,PMVL[PRMP MtM],0.01953869400491835
236,PMVL[MtM Estimé],267.0,,,PMVL[MtM Estimé],0.02061889771003529
229,PMVL[Quantity],262.0,,,PMVL[Quantity],0.011452098855279591
239,PMVL[PMVL Estimée + PRATIC],256.0,,,PMVL[PMVL Estimée + PRATIC],0.06209938241284407
230,PMVL[Purch. Val. (clean) (ptf cur.)],159.0,,,PMVL[Purch. Val. (clean) (ptf cur.)],0.017701337073600165
238,PMVL[PRATIC_PMVLEstimée],148.0,,,,
10,PMVL[Ref Unik Asset]_FC_Act_US,105.0,,,,
187,,,PMVL[Ref Unik Light]_PP_FAC_Taux,0.05110798,,
28,,,PMVL[CIC]_FR43,0.03687296,PMVL[CIC]_FR43,0.00665788381161384
54,,,PMVL[Inst Num]_4284156,0.029598866,,
199,,,PMVL[Ptf name]_MHP HM ACT COTE,0.02114334,,
35,,,PMVL[CIC]_LU41,0.020600978,,
11,,,PMVL[Ref Unik Asset]_FC_Act_exEUR,0.019121738,,
144,,,PMVL[Ref Unik Codes Completed]_PP_FAC_Act_US_LC,0.016424926,,
137,,,PMVL[Ref Unik Codes Completed]_PP_FAC_Act_Asie,0.015876222,,
148,,,PMVL[Ref Unik Codes Completed]_PP_FAC_DIV_PRATIC,0.015314311,,
1,,,PMVL[Quote Mode]_%,0.015073657,,
30,,,PMVL[CIC]_FR46,0.0144645125,,
7,,,PMVL[Ref Unik Asset]_FC_Act_EUR,0.014345278,,
211,,,PMVL[Ptf name]_QUATREM HM ACT COTE,0.013820383,,
233,,,,,PMVL[PRMP VNC],0.019561558167081095
240,,,,,PMVL[MtM Estimée + PRATIC],0.017813599382822842
231,,,,,PMVL[VNC Agrege dirty (ptf cur.)],0.014624891179566318
146,,,,,PMVL[Ref Unik Codes Completed]_PP_FAC_Conv_Global,0.00677372381108857
