threshold,prec_0,rec_0,f1_0,prec_1,rec_1,f1_1,cost,cost_FP,cost_FN
0.1,0.7989949748743719,0.29608938547486036,0.4320652173913043,0.8728129205921938,0.9848139711465452,0.9254370317516946,98046188827.16002,96388302569.80002,1657886257.3600001
0.15000000000000002,0.7716535433070866,0.3649906890130354,0.49557522123893805,0.8830990743914982,0.9779802581624905,0.9281210592686002,90336285326.82002,86247848351.50002,4088436975.32
0.2,0.7665505226480837,0.409683426443203,0.5339805825242718,0.8900832177531207,0.9745634016704632,0.9304095686843059,84185781745.06,79863917319.65,4321864425.41
0.25,0.7662337662337663,0.43947858472998136,0.5585798816568047,0.8948655256723717,0.9726651480637813,0.9321448062579589,82969159390.51,78250908900.09999,4718250490.41
0.30000000000000004,0.7619047619047619,0.4767225325884544,0.586483390607102,0.9008818342151675,0.9696279422930904,0.9339915889559335,75631040100.36,70086784260.4,5544255839.96
0.35,0.7535410764872521,0.49534450651769085,0.597752808988764,0.903832505322924,0.9669703872437357,0.9343360234776229,71764218942.39,66207417515.75,5556801426.64
0.4,0.7368421052631579,0.521415270018622,0.6106870229007634,0.9079183088498746,0.9620349278663629,0.9341935483870968,68871877815.76,62294209171.95,6577668643.81
0.45000000000000007,0.7189873417721518,0.5288640595903166,0.6094420600858369,0.9088616714697406,0.9578587699316629,0.93271719038817,69580757316.47,60941369438.0,8639387878.47
0.5,0.7095238095238096,0.5549348230912476,0.6227795193312434,0.9131225009087605,0.9536826119969628,0.9329619312906221,66662242541.58001,57840143596.90001,8822098944.68
0.55,0.6881720430107527,0.595903165735568,0.6387225548902196,0.9198078344419808,0.9449506454062263,0.9322097378277153,63976375139.93,52489542271.25,11486832868.68
0.6,0.6872509960159362,0.6424581005586593,0.6641000962463908,0.9280629449231922,0.9403948367501899,0.9341881953611163,61573206480.659996,49148427376.549995,12424779104.11
0.65,0.664179104477612,0.6629422718808193,0.6635601118359739,0.9313092979127134,0.9316628701594533,0.9314860504839628,60193829208.62,47222776704.3,12971052504.32
0.7000000000000001,0.6457242582897034,0.6890130353817505,0.6666666666666666,0.9357197844495766,0.9229309035687168,0.9292813455657493,56796677139.17999,42996130982.24999,13800546156.93
0.75,0.616,0.7169459962756052,0.6626506024096386,0.9402985074626866,0.908883826879271,0.9243243243243243,51177291274.770004,34764827925.0,16412463349.77
0.8,0.5732758620689655,0.7430167597765364,0.6472019464720195,0.9442424242424242,0.8872437357630979,0.914856136230182,48779522337.88,29448634892.35,19330887445.53
0.85,0.5288831835686778,0.7672253258845437,0.6261398176291794,0.947742474916388,0.860668185269552,0.9021090330282531,48537285730.69,26508959588.0,22028326142.690002
0.9,0.46008403361344535,0.8156424581005587,0.5883143049026192,0.9553853086976115,0.8048595292331056,0.8736863795590356,43554864787.439995,17203631736.149994,26351233051.29
