Feature,Consensus,CatBoost_Champion,LGBM_2nd
ratio_pmvl_vnc,359.31056124148,34.703661713981276,1760
PMVL[Quote],324.37424055765644,5.811561155697973,1616
PMVL[PFMIndice.Perf J / J-1],267.71440789338686,9.385064668305299,1329
ratio_pmvl_est_real,194.472698042359,5.314217368141993,967
holding_dow,181.30695243670544,9.349518271894208,897
PMVL[PRMP PMVL],178.52987008152883,3.292740733137042,889
holding_month,87.7859594996278,4.731147692303695,434
PMVL[PMVL Estimé],87.46046800431647,0.9986128735986834,436
PMVL[PRMP MtM],60.619374667672446,0.6195646770182229,302
PMVL[MtM Estimé],53.62150168799574,0.6446531308922769,267
