error_type,PMVL[Ptf name],error_mtm_sum,error_mtm_count,error_mtm_mean
FN,AUXIA ASS HM ACT COTE,0.0,8,0.0
FN,AUXIA HM ACT COTE,252312.86,23,10970.12
FN,AUXIA HM ACT PIV UC,0.0,3,0.0
FN,CAPREVAL HM ACT COTE,0.0,7,0.0
FN,CMAV HM ACT COTE,0.0,18,0.0
FN,INPR HM ACT COTE,16489.49,22,749.52
FN,MHM HM ACTIFS COTE,0.0,42,0.0
FN,MHP HM ACT COTE,58605502.99,65,901623.12
FN,MHP PERE HM ACT COTE,0.0,21,0.0
FN,MHP PERE HM ACT NC,0.0,5,0.0
FN,MHRS HM ACTIFS COTE,151190.49,24,6299.6
FN,MHRS MICHELIN HM ACT COTE,0.0,20,0.0
FN,MRS SG HM ACT COTE,0.0,13,0.0
FN,QUATREM HM ACT COTE,0.0,30,0.0
FN,QUATREM HM ACT NC,0.0,7,0.0
FP,AUXIA ASS HM ACT COTE,0.0,5,0.0
FP,AUXIA HM ACT COTE,562960.54,16,35185.03
FP,AUXIA HM ACT PIV UC,0.0,4,0.0
FP,CAPREVAL HM ACT COTE,0.0,12,0.0
FP,CMAV HM ACT COTE,127041.72,10,12704.17
FP,EMUT HORS MDT COTE,0.0,46,0.0
FP,INPR HM ACT COTE,454267.06,16,28391.69
FP,MHM HM ACTIFS COTE,0.0,25,0.0
FP,MHP EDIT HM ACT COTE,0.0,10,0.0
FP,MHP HM ACT COTE,16720998.75,52,321557.67
FP,MHP HM NANT GENERALI,0.0,2,0.0
FP,MHP HM NANTI CNP,0.0,2,0.0
FP,MHP HM NANTI ID,0.0,2,0.0
FP,MHP HM NANTI SMI,0.0,2,0.0
FP,MHP PERE HM ACT COTE,0.0,2,0.0
FP,MHRS HM ACTIFS COTE,82218.25,7,11745.46
FP,MHRS MICHELIN HM ACT COTE,0.0,3,0.0
FP,MRS SG HM ACT COTE,0.0,7,0.0
FP,QUATREM HM ACT COTE,836487.87,37,22607.78
FP,QUATREM HM ACT NC,0.0,5,0.0
